A3 .2 Modbus r                                                                      
Reg. cím      Tartalom                     Funkció kód    Bejegyzés hossz  Egység   Adat típus             
4000          Sorozatszám                  03             2                -        HEX                    
4002          Mérőeszköz kód               03             1                -        HEX                    
4003          Modbus ID (cím)              03             1                -        Jelölt                 
4004          Baud rate                    03             1                -        Jelölt                 
4005          Protokol verzió              03             2                -        Lebegő ABCD            
4007          Szoftver verzió              03             2                -        Lebegő ABCD            
4009          Hardver verzió               03             2                -        Lebegő ABCD            
400B          Mérőeszköz erősítők          03             1                A        Jelölt                 
400C          Áramváltó áttétel            03             1                A        HEX                    
400D          S0 kimeneti arány            03             2                imp/kWh  Lebegő ABCD            
400F          Kombinációs kód              03             1                -        Jelölt                 
4010          LCD ciklusidő                03             1                sec.     HEX                    
4011          Paritás beállítás            03             1                -        Jelölt                 
4012          Áram irány                   03             1                -        ASCII                  
4013          L2 áram irány                03             1                -        ASCII                  
4014          L3 áram irány                03             1                -        ASCII                  
4015          Hiba kód*                    03             1                -        Signed                 
4016          Lekapcsolás számláló         03             1                -        Jelölt                 
4017          Jelenlegi térnegyed          03             1                -        Jelölt                 
4018          L1 térnegyed                 03             1                -        Jelölt                 
4019          L2 térnegyed                 03             1                -        Jelölt                 
401A          L3 térnegyed                 03             1                -        Jelölt                 
401B          Ellenörző összeg             03             2                -        HEX                    
401D          Aktív státusz szó            03             2                -        HEX                    
401F          Áramváltó mód                03             1                A        Jelölt                 
Reg. cím      Tartalom                     Function code  Register length  Unit     Data type              
5000          Feszültség*                  03             2                V        LebegőABCD             
5002          L1 Feszültség                03             2                V        Lebegő ABCD            
5004          L2 Feszültség                03             2                V        Lebegő ABCD            
5006          L3 Feszültség                03             2                V        Lebegő ABCD            
5008          Rács frekvencia              03             2                Hz       Lebegő ABCD            
500A          Áram*                        03             2                A        LebegőABCD             
500C          L1 Áram                      03             2                A        Lebegő ABCD            
500E          L2 Áram                      03             2                A        Lebegő ABCD            
5010          L3 Áram                      03             2                A        Lebegő ABCD            
5012          Összes határos energia       03             2                kW       Lebegő ABCD            
5014          L1 Hatásos energia           03             2                kW       Lebegő ABCD            
5016          L2 Hatásos energia           03             2                kW       Lebegő ABCD            
5018          L3 Hatásos energia           03             2                kW       Lebegő ABCD            
501A          Összes meddő energia         03             2                kvar     Lebegő ABCD            
501C          L1 Meddő energia             03             2                kvar     Lebegő ABCD            
501E          L2 Meddő energia             03             2                kvar     Lebegő ABCD            
5020          L3 Meddő energia             03             2                kvar     Lebegő ABCD            
5022          Összes látszólagos teljesítmé03             2                kVA      Lebegő ABCD            
5024          L1 Látszólagos teljesítmény  03             2                kVA      Lebegő ABCD            
5026          L2 Látszólagos teljesítmény  03             2                kVA      Lebegő ABCD            
5028          L3 Látszólagos teljesítmény  03             2                kVA      Lebegő ABCD            
502A          Teljesítménytényező          03             2                -        Lebegő ABCD            
502C          L1 Teljesítménytényező       03             2                -        Lebegő ABCD            
502E          L2 Teljesítménytényező       03             2                -        Lebegő ABCD            
5030          L3 Teljesítménytényező       03             2                -        Lebegő ABCD            
Reg. cím      Tartalom                     Function code  Register length  Unit     Data type              
